Id,Label,timeset,componentnumber,modularity_class
591,591,,0,8
592,592,,14,0
593,593,,0,9
594,594,,0,15
595,595,,0,4
596,596,,0,29
597,597,,0,4
598,598,,0,15
599,599,,0,16
600,600,,0,15
601,601,,0,2
602,602,,0,8
603,603,,0,4
604,604,,0,13
605,605,,0,13
606,606,,0,29
607,607,,0,16
608,608,,0,16
609,609,,0,5
610,610,,0,9
611,611,,0,15
612,612,,0,9
613,613,,0,5
614,614,,0,15
615,615,,0,2
616,616,,0,15
617,617,,0,15
618,618,,0,16
619,619,,0,15
620,620,,0,9
621,621,,0,8
622,622,,0,9
623,623,,0,29
624,624,,0,22
625,625,,0,5
626,626,,0,21
627,627,,0,9
628,628,,15,0
629,629,,16,0
630,630,,0,21
631,631,,0,5
632,632,,0,22
633,633,,0,2
634,634,,0,30
635,635,,0,32
636,636,,0,9
637,637,,0,4
638,638,,0,9
639,639,,0,5
640,640,,0,13
641,641,,17,0
642,642,,0,5
643,643,,0,29
644,644,,0,4
645,645,,0,2
646,646,,0,9
647,647,,0,9
648,648,,0,21
649,649,,0,9
650,650,,0,9
651,651,,0,15
652,652,,0,2
653,653,,0,2
654,654,,18,0
655,655,,0,2
656,656,,0,2
657,657,,0,15
658,658,,0,10
659,659,,0,13
660,660,,0,13
661,661,,0,9
662,662,,0,13
663,663,,0,9
664,664,,0,4
665,665,,0,11
666,666,,0,22
667,667,,0,4
668,668,,0,5
669,669,,0,15
670,670,,0,29
671,671,,0,4
672,672,,0,2
673,673,,0,16
674,674,,0,22
675,675,,0,2
676,676,,0,15
677,677,,0,21
678,678,,0,2
679,679,,0,15
680,680,,0,22
681,681,,0,4
682,682,,0,4
683,683,,0,15
684,684,,0,4
685,685,,0,22
686,686,,0,4
687,687,,0,4
688,688,,0,21
689,689,,0,22
690,690,,0,2
691,691,,0,2
692,692,,0,4
693,693,,0,21
694,694,,0,8
695,695,,0,9
696,696,,0,15
697,697,,0,2
698,698,,0,5
699,699,,0,2
700,700,,0,8
701,701,,0,2
702,702,,0,15
703,703,,0,22
704,704,,0,2
705,705,,0,9
706,706,,0,4
707,707,,0,22
708,708,,0,9
709,709,,0,22
710,710,,0,9
711,711,,0,21
712,712,,0,5
713,713,,0,4
714,714,,0,9
715,715,,0,13
716,716,,0,8
717,717,,0,15
718,718,,0,15
719,719,,0,15
720,720,,0,15
721,721,,0,8
722,722,,0,15
723,723,,0,5
724,724,,0,22
725,725,,0,9
726,726,,0,17
727,727,,0,2
728,728,,0,22
729,729,,0,2
730,730,,0,29
