,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
724,724,13.0,0.2856575548648834,"[(4, 0.12824139), (5, 0.16937083), (11, 0.012210049), (12, 0.017103631), (13, 0.28565755), (18, 0.28080824), (19, 0.097466014)]"
725,725,5.0,0.6637407541275024,"[(3, 0.01817658), (5, 0.66374075), (13, 0.15703408), (18, 0.14829701)]"
726,726,16.0,0.6080900430679321,"[(8, 0.05677014), (16, 0.60809004), (22, 0.12751289), (25, 0.17144093)]"
727,727,2.0,0.5119136571884155,"[(2, 0.51191366), (11, 0.31931204), (18, 0.15722132)]"
728,728,17.0,0.43005502223968506,"[(9, 0.41376036), (12, 0.07194887), (17, 0.430055), (27, 0.06616006)]"
729,729,27.0,0.5134235620498657,"[(1, 0.06993926), (5, 0.036231693), (9, 0.04155311), (27, 0.51342356), (28, 0.33133793)]"
730,730,17.0,0.38268372416496277,"[(6, 0.07973452), (15, 0.12125519), (17, 0.38268372), (26, 0.31881434), (29, 0.08879863)]"
731,731,12.0,0.31778162717819214,"[(1, 0.089649715), (3, 0.21563545), (12, 0.31778163), (16, 0.05203236), (17, 0.14432576), (29, 0.16623582)]"
732,732,12.0,0.3740726411342621,"[(0, 0.18268792), (2, 0.120139375), (3, 0.03427049), (7, 0.023147613), (9, 0.12065739), (12, 0.37407264), (19, 0.06543928), (27, 0.021980567), (28, 0.052453928)]"
733,733,2.0,0.4916345477104187,"[(2, 0.49163452), (6, 0.044721264), (11, 0.11367797), (12, 0.34111884)]"
734,734,13.0,0.48833853006362915,"[(2, 0.2816338), (3, 0.019693598), (4, 0.032930348), (5, 0.027419329), (10, 0.04711933), (13, 0.48833856), (16, 0.036532212), (18, 0.055509295)]"
735,735,12.0,0.463341623544693,"[(0, 0.074640185), (5, 0.03582677), (10, 0.30123827), (12, 0.46334162), (13, 0.022100566), (17, 0.026203819), (29, 0.071238376)]"
736,736,22.0,0.9632741212844849,"[(11, 0.013001147), (19, 0.010572875), (22, 0.9632742)]"
