,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
2347,2347,0.0,0.3936142921447754,"[(0, 0.3936143), (1, 0.04706928), (9, 0.10406419), (13, 0.055788677), (17, 0.11378304), (18, 0.10764246), (19, 0.07508439), (20, 0.026592568), (22, 0.016580673), (27, 0.051108908)]"
2348,2348,0.0,0.8927015066146851,"[(0, 0.8927015), (5, 0.035785057), (24, 0.059510786)]"
2349,2349,0.0,0.8851751685142517,"[(0, 0.8851752), (5, 0.103154905)]"
2350,2350,26.0,0.7406219840049744,"[(3, 0.054607924), (5, 0.18809895), (26, 0.740622)]"
2351,2351,26.0,0.2636387050151825,"[(5, 0.16862704), (7, 0.08704015), (11, 0.18926656), (18, 0.17472073), (24, 0.097651705), (26, 0.2636387)]"
2352,2352,10.0,0.8294180631637573,"[(5, 0.017497309), (10, 0.82941806), (14, 0.016288625), (16, 0.01782816), (18, 0.078538336), (24, 0.028823016)]"
2353,2353,13.0,0.43381863832473755,"[(2, 0.13609536), (8, 0.013860512), (12, 0.019782102), (13, 0.4338186), (15, 0.3252662), (23, 0.027152807), (26, 0.033921864)]"
2354,2354,0.0,0.4192849099636078,"[(0, 0.4192849), (9, 0.08970873), (13, 0.10570921), (18, 0.27392936), (21, 0.05591412), (24, 0.029802913), (27, 0.015423453)]"
2355,2355,5.0,0.7004368901252747,"[(5, 0.7004369), (14, 0.16620618)]"
2356,2356,5.0,0.37952184677124023,"[(0, 0.22437435), (5, 0.37952185), (14, 0.09226661), (15, 0.02928622), (20, 0.02650832), (24, 0.10441608), (29, 0.13281581)]"
2357,2357,7.0,0.4690946638584137,"[(3, 0.08219837), (7, 0.46909463), (8, 0.06833178), (15, 0.21570668), (16, 0.024234539), (23, 0.022345988), (27, 0.10529752)]"
2358,2358,27.0,0.7419431209564209,"[(4, 0.018544441), (6, 0.042170346), (11, 0.021102272), (12, 0.0407198), (16, 0.021789344), (22, 0.03978317), (24, 0.04684846), (25, 0.014787293), (27, 0.7419431)]"
2359,2359,11.0,0.41333478689193726,"[(4, 0.027377741), (7, 0.3827674), (8, 0.047479447), (9, 0.1087106), (11, 0.4133348)]"
2360,2360,15.0,0.7180225849151611,"[(11, 0.22741866), (15, 0.7180226), (22, 0.040266678)]"
2361,2361,18.0,0.8866693377494812,"[(5, 0.03736763), (8, 0.04076581), (18, 0.88666934), (25, 0.028677478)]"
