topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40
0.2709575,0.068827227,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.027700529,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.032422371,0.000675911,0.000675911,0.000675911,0.155853823,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.000675911,0.057272468,0.000675911,0.000675911,0.364661038
0.000316482,0.000316482,0.000316482,0.0147749,0.000316482,0.000316482,0.000316482,0.024719646,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.025910459,0.014147103,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.34657982,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482,0.563107669,0.000316482,0.000316482,0.000316482,0.000316482,0.000316482
0.018194746,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.171197236,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.068173751,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.000333386,0.042946663,0.000333386,0.646088839,0.042063668,0.000333386
0.000641127,0.000641127,0.04093796,0.000641127,0.000641127,0.000641127,0.000641127,0.000641127,0.000641127,0.000641127,0.140393123,0.000641127,0.000641127,0.000641127,0.000641127,0.000641127,0.000641127,0.106569648,0.000641127,0.000641127,0.000641127,0.103220023,0.000641127,0.000641127,0.464755923,0.000641127,0.000641127,0.000641127,0.000641127,0.035267383,0.000641127,0.087698735,0.000641127,0.000641127,0.000641127,0.000641127,0.000641127,0.000641127,0.000641127,0.000641127
0.0594257,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.059484571,0.022537207,0.225254118,0.000284164,0.000284164,0.032287069,0.000284164,0.000284164,0.000284164,0.488972247,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.043795027,0.014632619,0.000284164,0.000284164,0.000284164,0.000284164,0.000284164,0.044802379
0.000675915,0.000675915,0.510546565,0.000675915,0.000675915,0.000675915,0.000675915,0.000675915,0.000675915,0.000675915,0.000675915,0.000675915,0.000675915,0.075916588,0.000675915,0.000675915,0.000675915,0.000675915,0.114298023,0.000675915,0.000675915,0.000675915,0.159716293,0.000675915,0.000675915,0.000675915,0.000675915,0.000675915,0.000675915,0.037333369,0.000675915,0.000675915,0.040656168,0.000675915,0.000675915,0.039227799,0.000675915,0.000675915,0.000675915,0.000675915
0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.01021674,0.037576824,0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.29894951,0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.020706506,0.594766438,0.000242801,0.000242801,0.019654751,0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.000242801,0.010116822,0.000242801,0.000242801,0.000242801,0.000242801
0.000625167,0.000625167,0.000625167,0.000625167,0.000625167,0.000625167,0.000625167,0.000625167,0.000625167,0.15175882,0.000625167,0.025780864,0.000625167,0.000625167,0.000625167,0.000625167,0.000625167,0.054233786,0.000625167,0.000625167,0.000625167,0.056896806,0.000625167,0.000625167,0.044577289,0.000625167,0.000625167,0.000625167,0.000625167,0.000625167,0.000625167,0.419167131,0.000625167,0.000625167,0.000625167,0.000625167,0.000625167,0.226954758,0.000625167,0.000625167
0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.091738522,0.220797256,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.000520961,0.033412393,0.000520961,0.058539636,0.000520961,0.000520961,0.000520961,0.507120073,0.000520961,0.000520961,0.000520961,0.000520961,0.070679441,0.000520961,0.000520961,0.000520961
0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.145079836,0.001087063,0.130893335,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.001087063,0.175347894,0.001087063,0.262604356,0.001087063,0.001087063,0.001087063,0.001087063,0.248027384,0.001087063
0.033669394,0.000328998,0.000328998,0.109963633,0.062544167,0.000328998,0.000328998,0.000328998,0.014493058,0.000328998,0.000328998,0.000328998,0.000328998,0.000328998,0.066125512,0.000328998,0.000328998,0.000328998,0.000328998,0.000328998,0.153330639,0.000328998,0.06982521,0.000328998,0.000328998,0.000328998,0.000328998,0.000328998,0.264650255,0.000328998,0.000328998,0.184381738,0.000328998,0.000328998,0.000328998,0.000328998,0.000328998,0.031146472,0.000328998,0.000328998
0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.286635458,0.000892977,0.405819356,0.000892977,0.000892977,0.143756509,0.000892977,0.000892977,0.095925152,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.000892977,0.036609333
0.000242807,0.000242807,0.000242807,0.103228755,0.000242807,0.000242807,0.000242807,0.000242807,0.000242807,0.000242807,0.000242807,0.063079216,0.065414831,0.000242807,0.000242807,0.257411718,0.000242807,0.068435863,0.000242807,0.000242807,0.000242807,0.029686915,0.000242807,0.047120925,0.000242807,0.000242807,0.104563482,0.000242807,0.01052946,0.18791236,0.000242807,0.000242807,0.000242807,0.000242807,0.000242807,0.000242807,0.055575099,0.000242807,0.000242807,0.000242807
0.000609908,0.270425797,0.000609908,0.049392935,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.231927127,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.049376916,0.000609908,0.000609908,0.000609908,0.377530366,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908,0.000609908
0.00024515,0.00024515,0.00024515,0.429852039,0.537198842,0.013137332,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.010986368,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515,0.00024515
0.000294144,0.000294144,0.000294144,0.000294144,0.038307056,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.018318854,0.000294144,0.15604496,0.000294144,0.000294144,0.747444868,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.029589258,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144,0.000294144
