,0
1157,4
1158,0
1159,12
1160,12
1161,14
1162,28
1163,20
1164,14
1165,28
1166,21
1167,25
1168,23
1169,4
1170,9
1171,11
1172,17
1173,28
1174,6
1175,11
1176,10
1177,2
1178,11
1179,19
1180,25
1181,0
1182,25
1183,20
1184,20
1185,25
1186,21
1187,12
1188,20
1189,16
1190,12
1191,12
1192,25
1193,9
1194,9
1195,27
1196,14
1197,9
1198,5
1199,2
1200,2
1201,28
1202,3
1203,8
1204,14
1205,14
1206,19
1207,0
1208,11
1209,22
1210,18
1211,22
1212,14
1213,21
1214,28
1215,6
1216,10
1217,27
1218,7
1219,16
1220,23
1221,24
1222,28
1223,26
1224,28
1225,10
1226,27
1227,17
1228,20
1229,15
1230,6
1231,15
1232,25
1233,17
1234,17
1235,16
1236,29
1237,24
1238,21
1239,21
1240,6
1241,10
1242,0
1243,20
1244,8
1245,28
1246,20
1247,7
1248,15
1249,27
1250,15
1251,9
1252,9
1253,28
1254,28
1255,25
1256,27
1257,29
1258,26
1259,19
1260,6
1261,6
1262,6
1263,6
1264,2
1265,20
1266,23
1267,20
1268,4
1269,0
1270,17
1271,29
1272,15
1273,20
1274,5
1275,6
1276,10
1277,17
1278,13
1279,21
1280,20
1281,20
1282,14
1283,24
1284,29
1285,5
1286,11
1287,27
1288,27
1289,24
1290,25
1291,0
1292,11
1293,15
1294,15
1295,15
1296,15
1297,9
1298,0
1299,29
1300,20
1301,29
1302,26
1303,7
1304,13
1305,23
1306,4
1307,15
1308,29
1309,11
1310,16
1311,7
1312,15
1313,29
1314,10
1315,4
1316,13
1317,7
1318,24
1319,13
1320,17
1321,29
1322,6
1323,4
1324,29
1325,6
1326,10
1327,8
1328,11
1329,9
1330,9
1331,12
1332,2
1333,11
1334,22
1335,22
1336,26
1337,13
1338,27
1339,11
1340,9
1341,22
1342,29
1343,0
1344,1
1345,7
1346,7
1347,16
1348,14
1349,21
1350,29
1351,18
1352,15
1353,4
1354,24
1355,29
1356,18
1357,18
1358,18
1359,3
1360,29
1361,12
1362,18
1363,11
1364,20
1365,9
1366,24
1367,27
1368,22
1369,11
1370,14
1371,24
1372,26
1373,29
1374,7
1375,29
1376,28
1377,23
1378,28
1379,14
1380,26
1381,14
1382,14
1383,21
1384,6
1385,6
1386,10
1387,1
1388,7
1389,12
1390,29
1391,2
1392,8
1393,22
1394,10
1395,7
1396,17
1397,14
1398,25
1399,0
1400,26
1401,10
1402,27
1403,2
1404,23
1405,24
1406,7
1407,22
1408,3
1409,2
1410,9
1411,15
1412,21
1413,28
1414,25
1415,3
1416,4
1417,14
1418,18
1419,4
1420,26
1421,17
1422,16
1423,14
1424,18
1425,12
1426,3
1427,2
1428,2
1429,0
1430,22
1431,9
1432,15
1433,27
1434,6
1435,29
1436,24
1437,15
1438,13
1439,23
1440,0
1441,16
1442,20
1443,15
1444,15
1445,8
1446,21
1447,20
1448,4
1449,14
1450,15
1451,15
1452,7
1453,2
1454,29
1455,29
1456,29
1457,29
1458,22
1459,3
1460,7
1461,27
1462,10
1463,16
1464,13
1465,17
1466,17
1467,3
1468,28
1469,25
1470,12
1471,27
1472,29
1473,12
1474,16
1475,10
1476,27
1477,26
1478,17
1479,3
1480,15
1481,22
1482,27
1483,27
1484,24
1485,28
1486,29
1487,6
1488,24
1489,28
1490,15
1491,18
1492,4
1493,4
1494,0
1495,19
1496,19
1497,14
1498,17
1499,14
1500,11
1501,15
1502,22
1503,16
1504,29
1505,10
1506,16
1507,10
1508,3
1509,9
1510,25
1511,29
1512,8
1513,15
1514,20
1515,27
1516,9
1517,9
1518,6
1519,29
1520,11
1521,6
1522,15
1523,20
1524,28
1525,23
1526,16
1527,16
1528,14
1529,13
1530,5
1531,0
1532,2
1533,4
1534,18
1535,7
1536,22
1537,15
1538,11
1539,15
1540,20
1541,15
1542,15
1543,26
1544,6
1545,27
1546,4
1547,19
1548,17
1549,5
1550,29
1551,16
1552,29
1553,29
1554,16
1555,5
1556,29
1557,5
1558,24
1559,25
1560,29
1561,1
1562,15
1563,7
1564,20
1565,21
1566,9
1567,9
1568,24
1569,5
1570,17
1571,12
1572,11
1573,29
1574,29
1575,29
1576,14
1577,9
1578,25
1579,7
1580,15
1581,17
1582,13
1583,20
1584,29
1585,8
1586,13
1587,15
1588,4
1589,4
1590,11
1591,16
1592,15
1593,15
1594,24
1595,29
1596,29
1597,5
1598,15
1599,16
1600,16
1601,16
1602,27
1603,1
1604,29
1605,22
1606,22
1607,25
1608,5
1609,29
1610,9
1611,17
1612,2
1613,2
1614,16
1615,17
1616,6
1617,20
1618,13
1619,19
1620,20
1621,17
1622,25
1623,0
1624,17
1625,21
1626,11
1627,11
1628,21
1629,21
1630,15
1631,26
1632,17
1633,28
1634,3
1635,16
1636,17
1637,1
1638,0
1639,16
1640,17
1641,28
1642,25
1643,18
1644,16
1645,23
1646,14
1647,19
1648,16
1649,21
1650,28
1651,14
1652,8
1653,8
1654,22
1655,7
1656,14
1657,29
1658,15
1659,9
1660,6
1661,0
1662,28
1663,0
1664,25
1665,18
1666,18
1667,3
1668,21
1669,29
1670,29
1671,29
1672,16
1673,29
1674,22
1675,23
1676,26
1677,4
1678,15
1679,7
1680,3
1681,18
1682,8
1683,6
1684,13
1685,9
1686,15
1687,26
1688,4
1689,29
1690,0
1691,19
1692,18
1693,2
1694,15
1695,20
1696,19
1697,27
1698,17
1699,19
1700,16
1701,17
1702,8
1703,29
1704,24
1705,14
1706,15
1707,11
1708,29
1709,5
1710,27
1711,18
1712,13
1713,25
1714,0
1715,6
1716,16
1717,21
1718,19
1719,26
1720,16
1721,10
1722,11
1723,10
1724,7
1725,28
1726,3
1727,0
1728,25
1729,3
1730,25
1731,29
1732,9
1733,15
1734,15
1735,0
1736,23
1737,8
1738,6
1739,23
1740,25
1741,22
1742,3
1743,2
1744,15
1745,17
1746,29
1747,14
1748,22
1749,29
1750,27
1751,21
1752,4
1753,7
1754,29
1755,13
1756,2
1757,9
1758,7
1759,15
1760,19
1761,15
1762,20
1763,4
1764,3
1765,28
1766,12
1767,0
1768,8
1769,8
1770,16
1771,19
1772,10
1773,16
1774,5
1775,1
1776,12
1777,19
1778,19
1779,16
1780,29
1781,12
1782,12
1783,12
1784,27
1785,8
1786,6
1787,28
1788,20
1789,4
1790,13
1791,10
1792,5
1793,1
1794,2
1795,25
1796,0
1797,5
1798,2
1799,26
1800,2
1801,0
1802,15
1803,24
1804,6
1805,6
1806,11
1807,20
1808,29
1809,3
1810,2
1811,15
1812,17
1813,15
1814,8
1815,10
1816,0
1817,26
1818,17
1819,28
1820,11
1821,3
1822,28
1823,4
1824,7
1825,4
1826,6
1827,4
1828,23
1829,5
1830,21
1831,28
1832,15
1833,20
1834,19
1835,12
1836,1
1837,4
1838,8
1839,28
1840,17
1841,16
1842,8
1843,8
1844,28
1845,11
1846,0
1847,16
1848,15
1849,18
1850,0
1851,13
1852,0
1853,20
1854,8
1855,6
1856,6
1857,6
1858,4
1859,6
1860,15
1861,11
1862,11
1863,10
1864,22
1865,13
1866,19
1867,15
1868,20
1869,8
1870,0
1871,8
1872,29
1873,10
1874,0
1875,23
1876,6
1877,6
1878,9
1879,8
1880,26
1881,16
1882,29
1883,25
1884,28
1885,23
1886,29
1887,2
1888,9
1889,23
1890,20
1891,13
1892,8
1893,11
1894,20
1895,15
1896,29
1897,11
1898,8
1899,15
1900,17
1901,7
1902,6
1903,6
1904,15
1905,6
1906,6
1907,6
1908,11
1909,22
1910,22
1911,25
1912,2
1913,18
1914,29
1915,8
1916,14
1917,1
1918,29
1919,10
1920,21
1921,4
1922,22
1923,18
1924,15
1925,11
1926,5
1927,0
1928,24
1929,20
1930,14
1931,22
1932,21
1933,22
1934,29
1935,3
1936,7
1937,24
1938,29
1939,29
1940,16
1941,7
1942,22
1943,16
1944,29
1945,7
1946,21
1947,3
1948,22
1949,8
1950,19
1951,14
1952,28
1953,14
1954,21
1955,15
1956,4
1957,16
1958,5
1959,6
1960,24
1961,13
1962,9
1963,16
1964,29
1965,8
1966,20
1967,26
1968,8
1969,25
1970,10
1971,25
1972,4
1973,12
1974,13
1975,13
1976,8
1977,8
1978,17
1979,11
1980,14
1981,17
1982,17
1983,7
1984,29
1985,16
1986,8
1987,21
1988,10
1989,9
1990,22
1991,20
1992,6
1993,0
1994,24
1995,27
1996,27
1997,20
1998,7
1999,7
2000,26
2001,26
2002,0
2003,2
2004,24
2005,8
2006,16
2007,20
2008,28
2009,4
2010,15
2011,16
2012,21
2013,28
2014,15
2015,21
2016,2
2017,2
2018,2
2019,29
2020,2
2021,29
2022,2
2023,21
2024,2
2025,28
2026,11
2027,12
2028,0
2029,0
2030,19
2031,0
2032,26
2033,29
2034,21
2035,22
2036,9
2037,4
2038,2
2039,23
2040,3
2041,22
2042,5
2043,16
2044,9
2045,3
2046,0
2047,4
2048,8
2049,17
2050,3
2051,4
2052,28
2053,3
2054,21
2055,4
2056,0
2057,0
2058,15
2059,18
2060,26
2061,11
2062,15
2063,26
2064,15
2065,15
2066,11
2067,27
2068,29
2069,16
2070,17
2071,16
2072,12
2073,0
2074,0
2075,0
2076,0
2077,2
2078,2
2079,27
2080,27
2081,11
2082,11
2083,14
2084,2
2085,14
2086,14
2087,21
2088,22
2089,15
2090,2
2091,1
2092,14
2093,24
2094,3
2095,17
2096,14
2097,20
2098,11
2099,4
2100,21
2101,25
2102,14
2103,9
2104,12
2105,12
2106,21
2107,20
2108,0
2109,29
2110,13
2111,13
2112,24
2113,29
2114,8
2115,14
2116,8
2117,29
2118,10
2119,8
2120,29
2121,29
2122,2
2123,15
2124,24
2125,22
2126,27
2127,16
2128,24
2129,4
2130,14
2131,3
2132,28
2133,23
2134,7
2135,17
2136,27
2137,21
2138,26
2139,11
2140,11
2141,23
2142,11
2143,27
2144,11
2145,11
2146,4
2147,14
2148,21
2149,27
2150,8
2151,21
2152,20
2153,4
2154,1
2155,9
2156,13
2157,12
2158,6
2159,24
2160,21
2161,19
2162,11
2163,6
2164,18
2165,18
2166,6
2167,24
2168,5
2169,28
2170,11
2171,27
2172,27
2173,14
2174,7
2175,3
2176,27
2177,25
2178,6
2179,6
2180,25
2181,9
2182,16
2183,11
2184,22
2185,9
2186,28
2187,9
2188,25
2189,21
2190,28
2191,7
2192,15
2193,17
2194,0
2195,21
2196,16
2197,8
2198,24
2199,29
2200,15
2201,0
2202,25
2203,6
2204,24
2205,5
2206,0
2207,24
2208,18
2209,28
2210,3
2211,25
2212,28
2213,20
2214,4
2215,20
2216,3
2217,14
2218,16
2219,17
2220,17
2221,28
2222,28
2223,15
2224,11
2225,29
2226,10
2227,9
2228,16
2229,12
2230,4
2231,28
2232,12
2233,25
2234,7
2235,18
2236,17
2237,20
2238,22
2239,11
2240,4
2241,13
2242,11
2243,4
2244,6
2245,26
2246,6
2247,5
2248,24
2249,4
2250,4
2251,10
2252,28
2253,20
2254,14
2255,6
2256,19
2257,4
2258,29
2259,29
2260,1
2261,29
2262,9
2263,11
2264,11
2265,13
2266,20
2267,24
2268,15
2269,11
2270,22
2271,18
2272,20
2273,24
2274,9
2275,13
2276,0
2277,7
2278,19
2279,26
2280,12
2281,4
2282,10
2283,20
2284,11
2285,8
2286,19
2287,29
2288,10
2289,7
2290,0
2291,12
2292,10
2293,0
2294,25
2295,8
2296,18
2297,11
2298,2
2299,0
2300,25
2301,4
2302,4
2303,14
2304,17
2305,16
2306,15
2307,15
2308,1
2309,29
2310,26
2311,20
2312,10
2313,14
2314,4
2315,19
2316,15
2317,14
2318,13
2319,28
2320,17
2321,22
2322,17
2323,13
2324,17
2325,20
2326,15
2327,14
2328,20
2329,3
2330,29
2331,7
2332,24
2333,25
2334,1
2335,12
2336,23
2337,16
2338,20
2339,18
2340,14
2341,14
2342,2
2343,15
2344,9
2345,21
2346,0
2347,0
2348,20
2349,24
2350,17
2351,0
2352,22
2353,24
2354,6
2355,26
2356,2
2357,6
2358,4
2359,29
2360,18
2361,16
2362,16
2363,2
2364,28
2365,16
2366,0
2367,9
2368,4
2369,20
2370,13
2371,11
2372,21
2373,21
2374,4
2375,13
2376,7
2377,15
2378,28
2379,2
2380,4
2381,18
2382,29
2383,24
2384,16
2385,13
2386,25
2387,24
2388,21
2389,24
2390,9
2391,9
2392,23
2393,18
2394,13
2395,29
2396,20
2397,24
2398,28
2399,8
2400,29
2401,17
2402,11
2403,15
2404,4
2405,16
2406,17
2407,6
2408,21
2409,9
2410,28
2411,27
2412,29
2413,3
2414,11
2415,29
2416,22
2417,6
2418,8
2419,11
2420,29
2421,17
2422,5
2423,14
2424,6
2425,16
2426,0
2427,29
2428,21
2429,1
2430,29
2431,0
2432,29
2433,18
2434,11
2435,22
2436,23
2437,10
2438,2
2439,16
2440,25
2441,18
2442,25
2443,14
2444,15
2445,21
2446,20
2447,17
2448,20
2449,22
2450,20
2451,10
2452,25
2453,15
2454,21
2455,29
2456,5
2457,25
2458,7
2459,25
2460,26
2461,17
2462,8
2463,15
2464,8
2465,21
2466,16
2467,20
2468,17
2469,29
2470,5
2471,24
2472,15
2473,10
2474,5
2475,18
2476,17
2477,10
2478,23
2479,16
2480,5
2481,0
2482,8
2483,29
2484,6
2485,4
2486,2
2487,20
2488,14
2489,26
2490,9
2491,11
2492,15
2493,15
2494,26
2495,16
2496,17
2497,21
2498,16
2499,6
2500,21
2501,29
2502,29
2503,6
2504,11
2505,23
2506,28
2507,3
2508,2
2509,16
2510,15
2511,11
2512,21
2513,16
2514,21
2515,8
2516,6
2517,2
2518,22
2519,15
2520,15
2521,17
2522,4
2523,15
2524,16
2525,2
2526,12
2527,16
2528,19
2529,2
2530,2
2531,23
2532,5
2533,6
2534,5
2535,9
2536,15
2537,2
2538,6
2539,6
2540,22
2541,15
2542,24
2543,16
2544,17
2545,27
2546,21
2547,4
2548,29
2549,24
2550,11
2551,2
2552,29
2553,11
2554,16
2555,11
2556,11
2557,21
2558,11
2559,11
2560,0
2561,13
2562,1
2563,21
2564,23
2565,3
2566,2
2567,22
2568,29
2569,24
2570,29
2571,5
2572,10
2573,20
2574,27
2575,27
2576,3
2577,19
2578,11
2579,6
2580,23
2581,29
2582,1
2583,0
2584,1
2585,29
2586,15
2587,20
2588,25
2589,15
2590,23
2591,6
2592,8
2593,2
2594,27
2595,15
2596,20
2597,27
2598,15
2599,29
2600,26
2601,15
2602,4
2603,15
2604,2
2605,15
2606,15
2607,7
2608,15
2609,11
2610,19
2611,4
2612,21
2613,20
2614,2
2615,10
2616,27
2617,24
2618,6
2619,19
2620,23
2621,15
2622,3
2623,21
2624,6
2625,25
2626,15
2627,17
2628,15
2629,4
2630,16
2631,25
2632,18
2633,10
2634,13
2635,11
2636,10
2637,12
2638,29
2639,6
2640,6
2641,6
2642,6
2643,17
2644,6
2645,2
2646,25
2647,16
2648,11
2649,19
2650,25
2651,27
2652,3
2653,0
2654,15
2655,22
2656,9
2657,6
2658,16
2659,9
2660,17
2661,4
2662,15
2663,18
2664,29
2665,21
2666,0
2667,29
2668,17
2669,11
2670,18
2671,8
2672,4
2673,17
2674,15
2675,14
2676,27
2677,27
2678,27
2679,4
2680,29
2681,15
2682,4
2683,23
2684,16
2685,21
2686,20
2687,29
2688,21
2689,4
2690,4
2691,16
2692,22
2693,0
2694,8
2695,16
2696,24
2697,18
2698,29
2699,9
2700,7
2701,11
2702,0
2703,15
2704,6
2705,3
2706,17
2707,25
2708,29
2709,27
2710,27
2711,11
2712,11
2713,21
2714,4
2715,22
2716,26
2717,22
2718,2
2719,7
2720,6
2721,15
2722,10
2723,28
2724,19
2725,7
2726,2
2727,15
2728,29
2729,17
2730,15
2731,15
2732,23
2733,29
2734,4
2735,14
2736,21
2737,24
2738,16
2739,11
2740,3
2741,23
2742,24
2743,2
2744,20
2745,22
2746,2
2747,25
2748,9
2749,15
2750,0
2751,1
2752,25
2753,25
2754,26
2755,24
2756,1
2757,28
2758,0
2759,16
2760,14
2761,8
2762,17
2763,26
2764,8
2765,16
2766,9
2767,14
2768,25
2769,21
2770,4
2771,3
2772,29
2773,29
2774,15
2775,11
2776,29
2777,15
2778,27
2779,0
2780,25
2781,26
2782,6
2783,4
2784,9
2785,14
2786,16
2787,24
2788,7
2789,12
2790,27
2791,11
2792,16
2793,22
2794,8
2795,29
2796,14
2797,3
2798,17
2799,6
2800,13
2801,16
2802,20
2803,28
2804,2
2805,4
2806,8
2807,14
2808,29
2809,17
2810,10
2811,2
2812,17
2813,29
2814,17
2815,5
2816,20
2817,12
2818,27
2819,24
2820,24
2821,28
2822,9
2823,15
2824,12
2825,15
2826,13
2827,15
2828,6
2829,15
2830,15
2831,27
2832,25
2833,3
2834,13
2835,21
2836,13
2837,28
2838,0
2839,0
2840,17
2841,21
2842,21
2843,9
2844,29
2845,4
2846,22
2847,25
2848,24
2849,5
2850,9
2851,10
2852,8
2853,3
2854,4
2855,22
2856,6
2857,20
2858,22
2859,20
2860,22
2861,15
2862,28
2863,20
2864,24
2865,14
2866,29
2867,23
2868,17
2869,16
2870,10
2871,0
2872,24
2873,25
2874,6
2875,4
2876,6
2877,8
2878,19
2879,8
2880,20
2881,24
2882,24
2883,4
2884,24
2885,4
2886,6
2887,28
2888,6
2889,11
2890,11
2891,6
2892,9
2893,6
2894,9
2895,7
2896,26
2897,25
2898,20
2899,2
2900,13
2901,24
2902,10
2903,12
2904,10
2905,8
2906,22
